,CHARTER,city,url,state,name,charter_id
6959,0,Inglewood,,CA,Imperial Bank,18835
6960,15126,Aurora,,CO,Aurora National Bank,18836
6961,0,Fort Collins,,CO,Century Bank Fort Collins,18837
6962,0,Adair,,IA,Exchange State Bank,18838
6963,15127,Washington,,,"First Union National Bank of Washington, D.C.",18839
6964,0,Shepherdsville,,KY,The Peoples Bank of Bullitt County,1884
6965,15128,Fort Worth,,TX,Everman National Bank of Fort Worth,18840
6966,0,Rolla,www.mypcb.com,MO,Phelps County Bank,18841
6967,0,Melbourne,,FL,Citizens and Southern Bank of Brevard,18842
6968,0,Plano,,TX,LegacyTexas Bank,18843
6969,0,Victoria,,TX,Crossroads Bank,18844
6970,0,Waterville,,MN,Valley Bank,18845
6971,15132,Plainview,,TX,"Norwest Bank Texas, Plainview, National Association",18846
6972,15134,Greenville,,SC,Southern National Bank of South Carolina,18847
6973,15133,Davenport,,IA,Brenton First National Bank,18848
6974,15136,San Antonio,,TX,Security National Bank of San Antonio,18849
6975,15135,Winter Park,,FL,Atlantic National Bank of Winter Park,18850
6976,0,Arlington,,TX,Bank of Arlington,18851
6977,0,Seven Points,,TX,Cedar Creek Bank,18853
6978,0,West Palm Beach,,FL,Pan American Bank of Palm Beach County,18854
6979,0,Colchester,,IL,Colchester State Bank,18855
6980,0,Tulsa,www.oklahomacapitalbank.com,OK,Oklahoma Capital Bank,18856
6981,15141,Dallas,,TX,"Texas Commerce Bank - Preston Royal, National Association",18857
6982,0,Athens,https://www.hvbonline.com,OH,The Hocking Valley Bank,18858
6983,0,Houston,,TX,Northshore Bank,18859
6984,15143,Fort Lauderdale,,FL,"Landmark Bank of North Fort Lauderdale, National Association",18860
6985,15144,Bellaire,,TX,First National Bank of Bellaire,18861
6986,15145,Houston,,TX,Riverside National Bank of Houston,18862
6987,0,Marionville,,MO,First State Bank of Marionville,18864
6988,0,Richmond,,MO,Mercantile Bank of Missouri Valley,18865
6989,0,Dilworth,,MN,Clay County State Bank,18867
6990,15147,Hollywood,,FL,Atlantic National Bank of Hollywood,18868
6991,0,Covington,,GA,First Nation Bank,18869
6992,15151,Temple,,OK,First National Bank of Temple,18871
6993,15152,Moore,,OK,Exchange National Bank of Moore,18872
6994,0,Montpelier,,ID,Tri-State Bank,18873
6995,15154,Landover,,MD,Peoples Security Bank of Maryland,18874
6996,0,Fort Lauderdale,,FL,Southeast Bank of Broward,18875
6997,0,Galveston,,TX,Citizens Bank,18876
6998,15156,Miami,,FL,"Royal Trust Bank, National Association",18877
6999,15157,Riviera Beach,,FL,First National Bank and Trust Company of Riviera Beach,18878
7000,0,Kennett,http://www.kennetttrustbank.com,MO,Kennett Trust Bank,18879
7001,17356,Baltimore,,MD,"Equitable Bank, National Association",1888
7002,15158,Gillette,www.fnbgillette.com,WY,First National Bank of Gillette,18880
7003,0,Carrington,,ND,Farmers State Bank,18881
7004,0,Lincoln,,NH,Granite State Trust Company,18882
7005,0,Spartanburg,,SC,Spartanburg Bank and Trust Company,18883
7006,15160,Cudahy,,WI,M&I First National Bank of Cudahy,18884
7007,15161,Mora,www.neighborhood.bank,MN,Neighborhood National Bank,18885
7008,15162,Oakland Park,,FL,"Pan American Bank of Broward County, National Association",18886
7009,15164,Ann Arbor,,MI,"Comerica Bank-Ann Arbor, National Association",18888
7010,0,Trenton,www.bankwithcommunity.com,IL,Community Bank of Trenton,18889
7011,0,Bel Air,,MD,First Virginia Bank-Central Maryland,1889
7012,20195,North Platte,,NE,Western Nebraska National Bank,18890
7013,0,Kansas City,,KS,The Wyandotte Bank,18891
7014,15168,Kress,WWW.KNBKRESS.COM,TX,Kress National Bank,18892
7015,15167,Southfield,,MI,"Manufacturers Bank of Southfield, N.A.",18893
7016,15171,Lake Jackson,www.fnblj.com,TX,First National Bank of Lake Jackson,18895
7017,15170,Colorado Springs,,CO,Colorado National Bank,18896
7018,0,Camanche,,IA,Hawkeye Bank and Trust,18898
7019,0,Cordele,,GA,PlantersFIRST,189
7020,0,Brunswick,,MD,The Bank of Brunswick,1890
7021,0,Chaplin,,KY,King Southern Bank,18900
7022,15177,Bartlesville,,OK,Plaza National Bank of Bartlesville,18901
7023,15178,Dallas,,TX,Commercial National Bank of Dallas,18902
7024,15659,Wayzata,,MN,Anchor Bank National Association,18903
7025,15179,Sherman,,TX,"American Bank of Sherman, National Association",18904
7026,15180,Walnut Creek,,CA,Security National Bank,18905
7027,15181,Burlington,,CO,Colorado Community First National Bank,18906
7028,0,Midwest City,,OK,Security Bank & Trust Company,18907
7029,15174,Petaluma,,CA,Sierra National Bank,18908
7030,15175,Kingsville,,TX,"Kingsville Bank and Trust Company, National Association",18909
7031,0,St. Joseph,,MO,The First Trust Bank,18910
7032,15186,Melbourne,,FL,"The First Bankers of South Brevard, National Association",18912
7033,15183,Springfield,,MO,"CharterBank Springfield, N.A.",18913
7034,15184,Denver,,CO,"Bank One, Colorado, National Association",18914
7035,0,Fort Worth,,TX,West Side Bank and Trust,18915
7036,15188,Houston,,TX,"First RepublicBank Nassau Bay, National Association",18916
7037,0,Cheyenne,,WY,First Wyoming Bank - East Cheyenne,18917
7038,15190,Miami Lakes,,FL,Kislak National Bank,18918
7039,0,Minatare,,NE,The Minatare State Bank,18919
7040,0,Keymar,,MD,The Detour Bank,1892
7041,15192,Newcastle,,WY,National Bank of Newcastle,18920
7042,15191,Fort Lauderdale,,FL,Sunrise American National Bank of Fort Lauderdale,18921
7043,15738,Oak Creek,www.tcnb.com,WI,Tri City National Bank,18922
