,CHARTER,CITY,WEBADDR,STNAME,NAME,ID
353,0,Carlock,,Illinois,Farmers State Bank of Carlock,10472
354,0,Ipava,www.ipavastatebank.com,Illinois,Ipava State Bank,10473
355,0,Lena,http://www.csbnow.com,Illinois,Citizens State Bank,10474
356,0,Bartonville,,Illinois,Bartonville Bank,10475
357,0,Bloomington,,Illinois,Corn Belt Bank,10476
358,0,Mitchell,,Indiana,The Bank of Mitchell,10478
359,0,North Vernon,,Indiana,Union Bank and Trust Company,10479
360,0,Poland,,Indiana,Peoples State Bank of Clay County,10480
361,0,Etna Green,,Indiana,The Etna Bank,10482
362,0,New Ross,,Indiana,Farmers State Bank,10484
363,0,Scottsburg,,Indiana,The Scott County State Bank,10485
364,0,Elgin,www.elginstatebankia.com,Iowa,Elgin State Bank,10489
365,14437,Steeleville,www.bankatfnb.com,Illinois,First National Bank of Steeleville,1049
366,0,Fayette,,Iowa,State Bank of Fayette,10490
367,0,Coralville,,Iowa,Freedom Security Bank,10491
368,0,Iowa City,www.fmbankonline.com,Iowa,Farmers and Merchants Savings Bank,10492
369,0,Mount Vernon,www.mountvernonbank.com,Iowa,Mount Vernon Bank and Trust Company,10494
370,107,Ottumwa,,Iowa,"Norwest Bank Ottumwa, National Association",10495
371,0,Allison,,Iowa,State Bank of Allison,10496
372,0,Sac City,https://www.myisb.bank,Iowa,Iowa State Bank,10497
373,15524,Eldora,,Iowa,First National Bank of Eldora,10498
374,0,New Sharon,,Iowa,Taintor Savings Bank,10499
375,0,Cave City,www.bankofcavecity.com,Arkansas,Bank of Cave City,105
376,14140,Winchester,,Illinois,Winchester National Bank,1050
377,0,Wever,www.fsbwever.com,Iowa,Farmers Savings Bank,10500
378,0,Bronson,,Kansas,The Bank of Bronson,10501
379,0,Goodland,,Kansas,BANKWEST OF KANSAS,10502
380,0,Ness City,http://www.fsbnesscity.com,Kansas,The First State Bank,10503
381,0,Ottawa,http://www.MyKansasStateBank.com,Kansas,The Kansas State Bank,10505
382,0,Sylvan Grove,,Kansas,Thunder Bank,10506
383,0,Dexter,,Kansas,"Farmers State Bank of Dexter, Kansas",10507
384,0,Fredonia,,Kansas,The State Bank of Kansas,10508
385,0,Hartford,,Kentucky,Citizens Bank,1051
386,0,Madison,,Kansas,Madison Bank,10510
387,0,Kansas City,,Kansas,The Turner State Bank,10511
388,0,Greensburg,,Kentucky,Deposit Bank & Trust Co.,10512
389,0,Louisville,,Kentucky,"PNC Bank, Kentucky, Inc.",10513
390,0,Middleburg,,Kentucky,"Farmers Deposit Bank of Middleburg, Inc.",10514
391,0,Scottsville,,Kentucky,"Kentucky State Bank of Scottsville, Kentucky",10515
392,0,Maysville,,Kentucky,Community First Bank,10518
393,0,Louisville,,Kentucky,First Kentucky Trust Company,1052
394,0,Morehead,www.tcbanytime.com,Kentucky,The Citizens Bank,10520
